Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indxO   indxR    XIdgO       XIrg      XIdgR     Jdg   indxT    ETAdgO     ETArg      ETAdgT 

0000001  0.00000e+00  0.00000e+00  1.11111e-01  2.22222e-01  3.33333e-01    44   12329   12330   43.50000   43.83333   44.50000    66   12518   65.50000   65.83333   66.50000
0000002  0.00000e+00  0.00000e+00  2.22222e-01  1.11111e-01  3.33333e-01    44   12329   12330   43.50000   44.16667   44.50000    66   12518   65.50000   65.83333   66.50000
0000003  0.00000e+00  0.00000e+00  0.00000e+00  3.33333e-01  3.33333e-01    45   12330   12331   44.50000   44.50000   45.50000    66   12519   65.50000   65.83333   66.50000
0000004  0.00000e+00  0.00000e+00  0.00000e+00  2.22222e-01  2.22222e-01    45   12330   12331   44.50000   44.83333   45.50000    66   12519   65.50000   65.83333   66.50000
0000005  0.00000e+00  0.00000e+00  0.00000e+00  1.11111e-01  1.11111e-01    45   12330   12331   44.50000   45.16667   45.50000    66   12519   65.50000   65.83333   66.50000
0000006  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12331   12332   45.50000   45.50000   46.50000    66   12520   65.50000   65.83333   66.50000
0000007  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12331   12332   45.50000   45.83333   46.50000    66   12520   65.50000   65.83333   66.50000
0000008  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12331   12332   45.50000   46.16667   46.50000    66   12520   65.50000   65.83333   66.50000
0000009  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    47   12332   12333   46.50000   46.50000   47.50000    66   12521   65.50000   65.83333   66.50000
0000010  0.00000e+00  0.00000e+00  1.11111e-01  0.00000e+00  1.11111e-01    47   12332   12333   46.50000   46.83333   47.50000    66   12521   65.50000   65.83333   66.50000
0000011  0.00000e+00  0.00000e+00  2.22222e-01  0.00000e+00  2.22222e-01    47   12332   12333   46.50000   47.16667   47.50000    66   12521   65.50000   65.83333   66.50000
0000012  0.00000e+00  0.00000e+00  0.00000e+00  3.33333e-01  3.33333e-01    48   12333   12334   47.50000   47.50000   48.50000    66   12522   65.50000   65.83333   66.50000
