Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indxO   indxR    XIdgO       XIrg      XIdgR     Jdg   indxT    ETAdgO     ETArg      ETAdgT 

0000001  0.00000e+00  0.00000e+00  0.00000e+00  3.33333e-01  3.33333e-01    45   12264   12265   44.00000   44.00000   45.00000    66   12452   65.50000   65.83333   66.50000
0000002  0.00000e+00  0.00000e+00  0.00000e+00  2.22222e-01  2.22222e-01    45   12264   12265   44.00000   44.33333   45.00000    66   12452   65.50000   65.83333   66.50000
0000003  0.00000e+00  0.00000e+00  0.00000e+00  1.11111e-01  1.11111e-01    45   12264   12265   44.00000   44.66667   45.00000    66   12452   65.50000   65.83333   66.50000
0000004  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12265   12266   45.00000   45.00000   46.00000    66   12453   65.50000   65.83333   66.50000
0000005  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12265   12266   45.00000   45.33333   46.00000    66   12453   65.50000   65.83333   66.50000
0000006  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12265   12266   45.00000   45.66667   46.00000    66   12453   65.50000   65.83333   66.50000
0000007  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    47   12266   12267   46.00000   46.00000   47.00000    66   12454   65.50000   65.83333   66.50000
0000008  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    47   12266   12267   46.00000   46.33333   47.00000    66   12454   65.50000   65.83333   66.50000
0000009  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    47   12266   12267   46.00000   46.66667   47.00000    66   12454   65.50000   65.83333   66.50000
0000010  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    48   12267   12268   47.00000   47.00000   48.00000    66   12455   65.50000   65.83333   66.50000
0000011  0.00000e+00  0.00000e+00  1.11111e-01  0.00000e+00  1.11111e-01    48   12267   12268   47.00000   47.33333   48.00000    66   12455   65.50000   65.83333   66.50000
0000012  0.00000e+00  0.00000e+00  2.22222e-01  0.00000e+00  2.22222e-01    48   12267   12268   47.00000   47.66667   48.00000    66   12455   65.50000   65.83333   66.50000
0000013  0.00000e+00  0.00000e+00  0.00000e+00  3.33333e-01  3.33333e-01    49   12268   12269   48.00000   48.00000   49.00000    66   12456   65.50000   65.83333   66.50000
0000014  0.00000e+00  0.00000e+00  0.00000e+00  2.22222e-01  2.22222e-01    49   12268   12269   48.00000   48.33333   49.00000    66   12456   65.50000   65.83333   66.50000
0000015  0.00000e+00  0.00000e+00  0.00000e+00  1.11111e-01  1.11111e-01    49   12268   12269   48.00000   48.66667   49.00000    66   12456   65.50000   65.83333   66.50000
0000016  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    50   12269   12270   49.00000   49.00000   50.00000    66   12457   65.50000   65.83333   66.50000
0000017  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    50   12269   12270   49.00000   49.33333   50.00000    66   12457   65.50000   65.83333   66.50000
0000018  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    50   12269   12270   49.00000   49.66667   50.00000    66   12457   65.50000   65.83333   66.50000
0000019  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    51   12270   12271   50.00000   50.00000   51.00000    66   12458   65.50000   65.83333   66.50000
0000020  0.00000e+00  2.22222e-01  1.11111e-01  0.00000e+00  3.33333e-01    51   12270   12271   50.00000   50.33333   51.00000    66   12458   65.50000   65.83333   66.50000
0000021  0.00000e+00  4.44444e-01  2.22222e-01  0.00000e+00  6.66667e-01    51   12270   12271   50.00000   50.66667   51.00000    66   12458   65.50000   65.83333   66.50000
