Interpolation Weights at V-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indxO   indxR    XIdgO       XIrg      XIdgR     Jdg   indxT    ETAdgO     ETArg      ETAdgT 

0000001  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    44   12329   12330   43.50000   43.83333   44.50000    67   12518   66.00000   66.00000   67.00000
0000002  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    44   12329   12330   43.50000   44.16667   44.50000    67   12518   66.00000   66.00000   67.00000
0000003  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    45   12330   12331   44.50000   44.50000   45.50000    67   12519   66.00000   66.00000   67.00000
0000004  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    45   12330   12331   44.50000   44.83333   45.50000    67   12519   66.00000   66.00000   67.00000
0000005  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    45   12330   12331   44.50000   45.16667   45.50000    67   12519   66.00000   66.00000   67.00000
0000006  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12331   12332   45.50000   45.50000   46.50000    67   12520   66.00000   66.00000   67.00000
0000007  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12331   12332   45.50000   45.83333   46.50000    67   12520   66.00000   66.00000   67.00000
0000008  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    46   12331   12332   45.50000   46.16667   46.50000    67   12520   66.00000   66.00000   67.00000
0000009  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    47   12332   12333   46.50000   46.50000   47.50000    67   12521   66.00000   66.00000   67.00000
0000010  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    47   12332   12333   46.50000   46.83333   47.50000    67   12521   66.00000   66.00000   67.00000
0000011  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    47   12332   12333   46.50000   47.16667   47.50000    67   12521   66.00000   66.00000   67.00000
0000012  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    48   12333   12334   47.50000   47.50000   48.50000    67   12522   66.00000   66.00000   67.00000
0000013  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    48   12333   12334   47.50000   47.83333   48.50000    67   12522   66.00000   66.00000   67.00000
0000014  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    48   12333   12334   47.50000   48.16667   48.50000    67   12522   66.00000   66.00000   67.00000
0000015  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    49   12334   12335   48.50000   48.50000   49.50000    67   12523   66.00000   66.00000   67.00000
0000016  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    49   12334   12335   48.50000   48.83333   49.50000    67   12523   66.00000   66.00000   67.00000
0000017  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    49   12334   12335   48.50000   49.16667   49.50000    67   12523   66.00000   66.00000   67.00000
0000018  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    50   12335   12336   49.50000   49.50000   50.50000    67   12524   66.00000   66.00000   67.00000
0000019  0.00000e+00  3.33333e-01  0.00000e+00  0.00000e+00  3.33333e-01    50   12335   12336   49.50000   49.83333   50.50000    67   12524   66.00000   66.00000   67.00000
0000020  0.00000e+00  6.66667e-01  0.00000e+00  0.00000e+00  6.66667e-01    50   12335   12336   49.50000   50.16667   50.50000    67   12524   66.00000   66.00000   67.00000
0000021  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    51   12336   12337   50.50000   50.50000   51.50000    67   12525   66.00000   66.00000   67.00000
0000022  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    51   12336   12337   50.50000   50.83333   51.50000    67   12525   66.00000   66.00000   67.00000
0000023  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    51   12336   12337   50.50000   51.16667   51.50000    67   12525   66.00000   66.00000   67.00000
0000024  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    52   12337   12338   51.50000   51.50000   52.50000    67   12526   66.00000   66.00000   67.00000
0000025  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    52   12337   12338   51.50000   51.83333   52.50000    67   12526   66.00000   66.00000   67.00000
0000026  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    52   12337   12338   51.50000   52.16667   52.50000    67   12526   66.00000   66.00000   67.00000
0000027  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    53   12338   12339   52.50000   52.50000   53.50000    67   12527   66.00000   66.00000   67.00000
0000028  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    53   12338   12339   52.50000   52.83333   53.50000    67   12527   66.00000   66.00000   67.00000
0000029  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    53   12338   12339   52.50000   53.16667   53.50000    67   12527   66.00000   66.00000   67.00000
0000030  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    54   12339   12340   53.50000   53.50000   54.50000    67   12528   66.00000   66.00000   67.00000
0000031  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    54   12339   12340   53.50000   53.83333   54.50000    67   12528   66.00000   66.00000   67.00000
0000032  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    54   12339   12340   53.50000   54.16667   54.50000    67   12528   66.00000   66.00000   67.00000
0000033  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    55   12340   12341   54.50000   54.50000   55.50000    67   12529   66.00000   66.00000   67.00000
